Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 224 | GridSize: 9
Generation 2 | Revalues: 349 | GridSize: 10
Generation 3 | Revalues: 477 | GridSize: 11
Generation 4 | Revalues: 602 | GridSize: 14
Generation 5 | Revalues: 720 | GridSize: 15
Generation 6 | Revalues: 853 | GridSize: 16
Generation 7 | Revalues: 981 | GridSize: 8
Generation 8 | Revalues: 1104 | GridSize: 8
Generation 9 | Revalues: 1232 | GridSize: 8
Generation 10 | Revalues: 1354 | GridSize: 8
Generation 11 | Revalues: 1476 | GridSize: 10
Generation 12 | Revalues: 1604 | GridSize: 10
Generation 13 | Revalues: 1730 | GridSize: 10
Generation 14 | Revalues: 1859 | GridSize: 10
Generation 15 | Revalues: 1988 | GridSize: 10
Generation 16 | Revalues: 2114 | GridSize: 10
Generation 17 | Revalues: 2239 | GridSize: 10
Generation 18 | Revalues: 2364 | GridSize: 9
Generation 19 | Revalues: 2488 | GridSize: 9
Generation 20 | Revalues: 2613 | GridSize: 9
Generation 21 | Revalues: 2739 | GridSize: 9
Generation 22 | Revalues: 2868 | GridSize: 9
Generation 23 | Revalues: 2990 | GridSize: 9
Generation 24 | Revalues: 3121 | GridSize: 9
Generation 25 | Revalues: 3245 | GridSize: 9
Generation 26 | Revalues: 3370 | GridSize: 9
Generation 27 | Revalues: 3495 | GridSize: 9
Generation 28 | Revalues: 3626 | GridSize: 10
Generation 29 | Revalues: 3754 | GridSize: 10
Generation 30 | Revalues: 3884 | GridSize: 11
Generation 31 | Revalues: 4012 | GridSize: 11
Generation 32 | Revalues: 4140 | GridSize: 11
Generation 33 | Revalues: 4268 | GridSize: 11
Generation 34 | Revalues: 4394 | GridSize: 11
Generation 35 | Revalues: 4526 | GridSize: 11
Generation 36 | Revalues: 4652 | GridSize: 11
Generation 37 | Revalues: 4785 | GridSize: 11
Generation 38 | Revalues: 4908 | GridSize: 12
Generation 39 | Revalues: 5031 | GridSize: 12
Generation 40 | Revalues: 5155 | GridSize: 12
Generation 41 | Revalues: 5274 | GridSize: 12
Generation 42 | Revalues: 5397 | GridSize: 12
Generation 43 | Revalues: 5523 | GridSize: 12
Generation 44 | Revalues: 5649 | GridSize: 12
Generation 45 | Revalues: 5770 | GridSize: 12
Generation 46 | Revalues: 5898 | GridSize: 12
Generation 47 | Revalues: 6030 | GridSize: 10
Generation 48 | Revalues: 6156 | GridSize: 10
Generation 49 | Revalues: 6279 | GridSize: 10
Generation 50 | Revalues: 6402 | GridSize: 10
Generation 51 | Revalues: 6530 | GridSize: 11
Generation 52 | Revalues: 6649 | GridSize: 11
Generation 53 | Revalues: 6775 | GridSize: 11
Generation 54 | Revalues: 6899 | GridSize: 11
Generation 55 | Revalues: 7023 | GridSize: 11
Generation 56 | Revalues: 7153 | GridSize: 11
Generation 57 | Revalues: 7282 | GridSize: 11
Generation 58 | Revalues: 7409 | GridSize: 11
Generation 59 | Revalues: 7531 | GridSize: 11
Generation 60 | Revalues: 7657 | GridSize: 11
Generation 61 | Revalues: 7785 | GridSize: 11
Generation 62 | Revalues: 7908 | GridSize: 11
Generation 63 | Revalues: 8033 | GridSize: 11
Generation 64 | Revalues: 8156 | GridSize: 11
Generation 65 | Revalues: 8280 | GridSize: 11
Generation 66 | Revalues: 8407 | GridSize: 11
Generation 67 | Revalues: 8533 | GridSize: 11
Generation 68 | Revalues: 8661 | GridSize: 11
Generation 69 | Revalues: 8788 | GridSize: 11
Generation 70 | Revalues: 8920 | GridSize: 11
Generation 71 | Revalues: 9051 | GridSize: 11
Generation 72 | Revalues: 9176 | GridSize: 11
Generation 73 | Revalues: 9293 | GridSize: 11
Generation 74 | Revalues: 9413 | GridSize: 11
Generation 75 | Revalues: 9536 | GridSize: 11
Generation 76 | Revalues: 9666 | GridSize: 11
Generation 77 | Revalues: 9793 | GridSize: 11
Generation 78 | Revalues: 9918 | GridSize: 11
Generation 79 | Revalues: 10037 | GridSize: 13
Generation 80 | Revalues: 10164 | GridSize: 13
Generation 81 | Revalues: 10287 | GridSize: 13
Generation 82 | Revalues: 10415 | GridSize: 13
Generation 83 | Revalues: 10533 | GridSize: 13
Generation 84 | Revalues: 10660 | GridSize: 13
Generation 85 | Revalues: 10782 | GridSize: 11
Generation 86 | Revalues: 10909 | GridSize: 11
Generation 87 | Revalues: 11040 | GridSize: 11
Generation 88 | Revalues: 11163 | GridSize: 11
Generation 89 | Revalues: 11287 | GridSize: 11
Generation 90 | Revalues: 11417 | GridSize: 11
Generation 91 | Revalues: 11539 | GridSize: 11
Generation 92 | Revalues: 11667 | GridSize: 11
Generation 93 | Revalues: 11794 | GridSize: 11
Generation 94 | Revalues: 11923 | GridSize: 11
Generation 95 | Revalues: 12054 | GridSize: 11
Generation 96 | Revalues: 12185 | GridSize: 11
Generation 97 | Revalues: 12310 | GridSize: 11
Generation 98 | Revalues: 12439 | GridSize: 11
Generation 99 | Revalues: 12562 | GridSize: 11
Generation 100 | Revalues: 12683 | GridSize: 11
Generation 101 | Revalues: 12811 | GridSize: 11
Generation 102 | Revalues: 12938 | GridSize: 11
Generation 103 | Revalues: 13059 | GridSize: 11
Generation 104 | Revalues: 13187 | GridSize: 11
Generation 105 | Revalues: 13315 | GridSize: 11
Generation 106 | Revalues: 13440 | GridSize: 11
Generation 107 | Revalues: 13568 | GridSize: 11
Generation 108 | Revalues: 13690 | GridSize: 12
Generation 109 | Revalues: 13813 | GridSize: 12
Generation 110 | Revalues: 13940 | GridSize: 12
Generation 111 | Revalues: 14067 | GridSize: 12
Generation 112 | Revalues: 14197 | GridSize: 12
Generation 113 | Revalues: 14321 | GridSize: 12
Generation 114 | Revalues: 14453 | GridSize: 12
Generation 115 | Revalues: 14576 | GridSize: 12
Generation 116 | Revalues: 14700 | GridSize: 12
Generation 117 | Revalues: 14822 | GridSize: 12
Generation 118 | Revalues: 14944 | GridSize: 12
Generation 119 | Revalues: 15075 | GridSize: 12
Generation 120 | Revalues: 15197 | GridSize: 12
Generation 121 | Revalues: 15325 | GridSize: 12
Generation 122 | Revalues: 15448 | GridSize: 12
Generation 123 | Revalues: 15576 | GridSize: 13
Generation 124 | Revalues: 15704 | GridSize: 13
Generation 125 | Revalues: 15829 | GridSize: 13
Generation 126 | Revalues: 15953 | GridSize: 13
Generation 127 | Revalues: 16085 | GridSize: 13
Generation 128 | Revalues: 16214 | GridSize: 13
Generation 129 | Revalues: 16342 | GridSize: 13
Generation 130 | Revalues: 16461 | GridSize: 13
Generation 131 | Revalues: 16587 | GridSize: 13
Generation 132 | Revalues: 16718 | GridSize: 13
Generation 133 | Revalues: 16842 | GridSize: 13
Generation 134 | Revalues: 16964 | GridSize: 13
Generation 135 | Revalues: 17091 | GridSize: 13
Generation 136 | Revalues: 17218 | GridSize: 13
