Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 229 | GridSize: 9
Generation 2 | Revalues: 358 | GridSize: 9
Generation 3 | Revalues: 478 | GridSize: 9
Generation 4 | Revalues: 598 | GridSize: 8
Generation 5 | Revalues: 730 | GridSize: 10
Generation 6 | Revalues: 862 | GridSize: 12
Generation 7 | Revalues: 983 | GridSize: 12
Generation 8 | Revalues: 1104 | GridSize: 13
Generation 9 | Revalues: 1226 | GridSize: 16
Generation 10 | Revalues: 1346 | GridSize: 16
Generation 11 | Revalues: 1466 | GridSize: 16
Generation 12 | Revalues: 1586 | GridSize: 14
Generation 13 | Revalues: 1707 | GridSize: 15
Generation 14 | Revalues: 1828 | GridSize: 15
Generation 15 | Revalues: 1949 | GridSize: 14
Generation 16 | Revalues: 2074 | GridSize: 14
Generation 17 | Revalues: 2199 | GridSize: 15
Generation 18 | Revalues: 2324 | GridSize: 16
Generation 19 | Revalues: 2449 | GridSize: 17
Generation 20 | Revalues: 2574 | GridSize: 16
Generation 21 | Revalues: 2699 | GridSize: 17
Generation 22 | Revalues: 2825 | GridSize: 18
Generation 23 | Revalues: 2953 | GridSize: 13
Generation 24 | Revalues: 3081 | GridSize: 10
Generation 25 | Revalues: 3206 | GridSize: 10
Generation 26 | Revalues: 3329 | GridSize: 10
Generation 27 | Revalues: 3452 | GridSize: 11
Generation 28 | Revalues: 3575 | GridSize: 10
Generation 29 | Revalues: 3701 | GridSize: 10
Generation 30 | Revalues: 3831 | GridSize: 10
Generation 31 | Revalues: 3961 | GridSize: 10
Generation 32 | Revalues: 4085 | GridSize: 11
Generation 33 | Revalues: 4205 | GridSize: 11
Generation 34 | Revalues: 4325 | GridSize: 11
Generation 35 | Revalues: 4448 | GridSize: 11
Generation 36 | Revalues: 4570 | GridSize: 11
Generation 37 | Revalues: 4692 | GridSize: 10
Generation 38 | Revalues: 4818 | GridSize: 11
Generation 39 | Revalues: 4942 | GridSize: 12
Generation 40 | Revalues: 5066 | GridSize: 12
Generation 41 | Revalues: 5193 | GridSize: 12
Generation 42 | Revalues: 5320 | GridSize: 13
Generation 43 | Revalues: 5438 | GridSize: 13
Generation 44 | Revalues: 5556 | GridSize: 11
Generation 45 | Revalues: 5670 | GridSize: 12
Generation 46 | Revalues: 5796 | GridSize: 12
Generation 47 | Revalues: 5922 | GridSize: 12
Generation 48 | Revalues: 6051 | GridSize: 12
Generation 49 | Revalues: 6176 | GridSize: 12
Generation 50 | Revalues: 6301 | GridSize: 12
Generation 51 | Revalues: 6430 | GridSize: 12
Generation 52 | Revalues: 6557 | GridSize: 12
Generation 53 | Revalues: 6682 | GridSize: 12
Generation 54 | Revalues: 6807 | GridSize: 12
Generation 55 | Revalues: 6938 | GridSize: 12
Generation 56 | Revalues: 7059 | GridSize: 12
Generation 57 | Revalues: 7180 | GridSize: 12
Generation 58 | Revalues: 7304 | GridSize: 12
Generation 59 | Revalues: 7428 | GridSize: 12
Generation 60 | Revalues: 7551 | GridSize: 12
Generation 61 | Revalues: 7674 | GridSize: 12
Generation 62 | Revalues: 7800 | GridSize: 12
Generation 63 | Revalues: 7926 | GridSize: 12
