Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 229 | GridSize: 8
Generation 2 | Revalues: 355 | GridSize: 12
Generation 3 | Revalues: 477 | GridSize: 12
Generation 4 | Revalues: 602 | GridSize: 7
Generation 5 | Revalues: 730 | GridSize: 7
Generation 6 | Revalues: 856 | GridSize: 7
Generation 7 | Revalues: 978 | GridSize: 9
Generation 8 | Revalues: 1103 | GridSize: 9
Generation 9 | Revalues: 1231 | GridSize: 6
Generation 10 | Revalues: 1358 | GridSize: 6
Generation 11 | Revalues: 1486 | GridSize: 6
Generation 12 | Revalues: 1613 | GridSize: 6
Generation 13 | Revalues: 1736 | GridSize: 6
Generation 14 | Revalues: 1866 | GridSize: 6
Generation 15 | Revalues: 1994 | GridSize: 6
Generation 16 | Revalues: 2118 | GridSize: 6
Generation 17 | Revalues: 2246 | GridSize: 7
Generation 18 | Revalues: 2367 | GridSize: 7
Generation 19 | Revalues: 2493 | GridSize: 8
Generation 20 | Revalues: 2622 | GridSize: 7
Generation 21 | Revalues: 2751 | GridSize: 8
Generation 22 | Revalues: 2873 | GridSize: 8
Generation 23 | Revalues: 2999 | GridSize: 8
Generation 24 | Revalues: 3127 | GridSize: 8
Generation 25 | Revalues: 3251 | GridSize: 8
Generation 26 | Revalues: 3378 | GridSize: 9
Generation 27 | Revalues: 3504 | GridSize: 9
Generation 28 | Revalues: 3632 | GridSize: 9
Generation 29 | Revalues: 3758 | GridSize: 7
Generation 30 | Revalues: 3884 | GridSize: 8
Generation 31 | Revalues: 4010 | GridSize: 8
Generation 32 | Revalues: 4143 | GridSize: 8
Generation 33 | Revalues: 4273 | GridSize: 8
Generation 34 | Revalues: 4397 | GridSize: 8
Generation 35 | Revalues: 4527 | GridSize: 8
Generation 36 | Revalues: 4654 | GridSize: 8
Generation 37 | Revalues: 4777 | GridSize: 9
Generation 38 | Revalues: 4907 | GridSize: 9
Generation 39 | Revalues: 5032 | GridSize: 9
Generation 40 | Revalues: 5161 | GridSize: 9
Generation 41 | Revalues: 5280 | GridSize: 9
Generation 42 | Revalues: 5407 | GridSize: 9
Generation 43 | Revalues: 5532 | GridSize: 9
Generation 44 | Revalues: 5652 | GridSize: 9
Generation 45 | Revalues: 5775 | GridSize: 9
Generation 46 | Revalues: 5898 | GridSize: 7
Generation 47 | Revalues: 6025 | GridSize: 7
Generation 48 | Revalues: 6151 | GridSize: 7
Generation 49 | Revalues: 6274 | GridSize: 7
Generation 50 | Revalues: 6398 | GridSize: 7
Generation 51 | Revalues: 6523 | GridSize: 7
Generation 52 | Revalues: 6652 | GridSize: 7
Generation 53 | Revalues: 6776 | GridSize: 7
