Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 230 | GridSize: 7
Generation 2 | Revalues: 354 | GridSize: 5
Generation 3 | Revalues: 478 | GridSize: 6
Generation 4 | Revalues: 599 | GridSize: 6
Generation 5 | Revalues: 724 | GridSize: 6
Generation 6 | Revalues: 852 | GridSize: 6
Generation 7 | Revalues: 975 | GridSize: 6
Generation 8 | Revalues: 1105 | GridSize: 6
Generation 9 | Revalues: 1231 | GridSize: 6
Generation 10 | Revalues: 1360 | GridSize: 6
Generation 11 | Revalues: 1480 | GridSize: 6
Generation 12 | Revalues: 1597 | GridSize: 6
Generation 13 | Revalues: 1724 | GridSize: 6
Generation 14 | Revalues: 1844 | GridSize: 6
Generation 15 | Revalues: 1963 | GridSize: 6
Generation 16 | Revalues: 2088 | GridSize: 6
Generation 17 | Revalues: 2215 | GridSize: 6
Generation 18 | Revalues: 2348 | GridSize: 6
Generation 19 | Revalues: 2472 | GridSize: 6
Generation 20 | Revalues: 2597 | GridSize: 6
Generation 21 | Revalues: 2719 | GridSize: 6
Generation 22 | Revalues: 2849 | GridSize: 5
Generation 23 | Revalues: 2972 | GridSize: 5
Generation 24 | Revalues: 3098 | GridSize: 5
Generation 25 | Revalues: 3223 | GridSize: 5
Generation 26 | Revalues: 3351 | GridSize: 5
Generation 27 | Revalues: 3481 | GridSize: 5
Generation 28 | Revalues: 3607 | GridSize: 5
Generation 29 | Revalues: 3728 | GridSize: 5
Generation 30 | Revalues: 3849 | GridSize: 5
Generation 31 | Revalues: 3973 | GridSize: 5
Generation 32 | Revalues: 4103 | GridSize: 5
Generation 33 | Revalues: 4228 | GridSize: 5
Generation 34 | Revalues: 4354 | GridSize: 5
Generation 35 | Revalues: 4480 | GridSize: 5
Generation 36 | Revalues: 4606 | GridSize: 5
Generation 37 | Revalues: 4737 | GridSize: 5
Generation 38 | Revalues: 4854 | GridSize: 5
Generation 39 | Revalues: 4976 | GridSize: 5
Generation 40 | Revalues: 5100 | GridSize: 5
Generation 41 | Revalues: 5228 | GridSize: 5
Generation 42 | Revalues: 5355 | GridSize: 5
Generation 43 | Revalues: 5483 | GridSize: 5
Generation 44 | Revalues: 5609 | GridSize: 5
Generation 45 | Revalues: 5729 | GridSize: 5
Generation 46 | Revalues: 5856 | GridSize: 5
Generation 47 | Revalues: 5980 | GridSize: 6
Generation 48 | Revalues: 6098 | GridSize: 6
Generation 49 | Revalues: 6222 | GridSize: 6
Generation 50 | Revalues: 6345 | GridSize: 7
Generation 51 | Revalues: 6473 | GridSize: 7
Generation 52 | Revalues: 6605 | GridSize: 8
Generation 53 | Revalues: 6732 | GridSize: 8
Generation 54 | Revalues: 6866 | GridSize: 8
Generation 55 | Revalues: 6998 | GridSize: 8
Generation 56 | Revalues: 7119 | GridSize: 8
Generation 57 | Revalues: 7247 | GridSize: 8
Generation 58 | Revalues: 7377 | GridSize: 8
Generation 59 | Revalues: 7504 | GridSize: 8
Generation 60 | Revalues: 7632 | GridSize: 8
Generation 61 | Revalues: 7756 | GridSize: 8
Generation 62 | Revalues: 7885 | GridSize: 8
Generation 63 | Revalues: 8008 | GridSize: 8
Generation 64 | Revalues: 8132 | GridSize: 8
Generation 65 | Revalues: 8256 | GridSize: 9
Generation 66 | Revalues: 8384 | GridSize: 9
Generation 67 | Revalues: 8510 | GridSize: 9
Generation 68 | Revalues: 8634 | GridSize: 9
Generation 69 | Revalues: 8759 | GridSize: 9
Generation 70 | Revalues: 8885 | GridSize: 9
Generation 71 | Revalues: 9006 | GridSize: 9
Generation 72 | Revalues: 9131 | GridSize: 9
Generation 73 | Revalues: 9253 | GridSize: 9
Generation 74 | Revalues: 9378 | GridSize: 9
Generation 75 | Revalues: 9501 | GridSize: 9
Generation 76 | Revalues: 9625 | GridSize: 9
Generation 77 | Revalues: 9752 | GridSize: 9
Generation 78 | Revalues: 9884 | GridSize: 9
Generation 79 | Revalues: 10013 | GridSize: 9
Generation 80 | Revalues: 10144 | GridSize: 9
Generation 81 | Revalues: 10261 | GridSize: 9
Generation 82 | Revalues: 10387 | GridSize: 9
Generation 83 | Revalues: 10512 | GridSize: 9
Generation 84 | Revalues: 10648 | GridSize: 9
Generation 85 | Revalues: 10776 | GridSize: 9
Generation 86 | Revalues: 10903 | GridSize: 9
Generation 87 | Revalues: 11025 | GridSize: 9
Generation 88 | Revalues: 11152 | GridSize: 9
Generation 89 | Revalues: 11276 | GridSize: 9
Generation 90 | Revalues: 11402 | GridSize: 10
Generation 91 | Revalues: 11529 | GridSize: 10
Generation 92 | Revalues: 11662 | GridSize: 10
Generation 93 | Revalues: 11786 | GridSize: 10
Generation 94 | Revalues: 11915 | GridSize: 10
Generation 95 | Revalues: 12039 | GridSize: 9
Generation 96 | Revalues: 12166 | GridSize: 9
Generation 97 | Revalues: 12293 | GridSize: 9
Generation 98 | Revalues: 12417 | GridSize: 9
Generation 99 | Revalues: 12542 | GridSize: 9
Generation 100 | Revalues: 12661 | GridSize: 9
Generation 101 | Revalues: 12791 | GridSize: 9
Generation 102 | Revalues: 12912 | GridSize: 9
Generation 103 | Revalues: 13036 | GridSize: 9
Generation 104 | Revalues: 13155 | GridSize: 9
