Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 224 | GridSize: 7
Generation 2 | Revalues: 345 | GridSize: 7
Generation 3 | Revalues: 469 | GridSize: 7
Generation 4 | Revalues: 592 | GridSize: 10
Generation 5 | Revalues: 715 | GridSize: 10
Generation 6 | Revalues: 842 | GridSize: 6
Generation 7 | Revalues: 968 | GridSize: 6
Generation 8 | Revalues: 1087 | GridSize: 7
Generation 9 | Revalues: 1209 | GridSize: 7
Generation 10 | Revalues: 1329 | GridSize: 6
Generation 11 | Revalues: 1456 | GridSize: 7
Generation 12 | Revalues: 1581 | GridSize: 7
Generation 13 | Revalues: 1707 | GridSize: 7
Generation 14 | Revalues: 1833 | GridSize: 7
Generation 15 | Revalues: 1961 | GridSize: 7
Generation 16 | Revalues: 2078 | GridSize: 7
Generation 17 | Revalues: 2201 | GridSize: 7
Generation 18 | Revalues: 2325 | GridSize: 7
Generation 19 | Revalues: 2446 | GridSize: 7
Generation 20 | Revalues: 2576 | GridSize: 7
Generation 21 | Revalues: 2706 | GridSize: 7
Generation 22 | Revalues: 2837 | GridSize: 7
Generation 23 | Revalues: 2968 | GridSize: 8
Generation 24 | Revalues: 3092 | GridSize: 6
Generation 25 | Revalues: 3212 | GridSize: 6
Generation 26 | Revalues: 3332 | GridSize: 6
Generation 27 | Revalues: 3454 | GridSize: 6
Generation 28 | Revalues: 3583 | GridSize: 6
Generation 29 | Revalues: 3717 | GridSize: 6
Generation 30 | Revalues: 3845 | GridSize: 6
Generation 31 | Revalues: 3967 | GridSize: 7
Generation 32 | Revalues: 4091 | GridSize: 7
Generation 33 | Revalues: 4215 | GridSize: 7
Generation 34 | Revalues: 4346 | GridSize: 7
Generation 35 | Revalues: 4468 | GridSize: 7
Generation 36 | Revalues: 4590 | GridSize: 7
Generation 37 | Revalues: 4716 | GridSize: 7
Generation 38 | Revalues: 4842 | GridSize: 7
Generation 39 | Revalues: 4966 | GridSize: 7
Generation 40 | Revalues: 5092 | GridSize: 7
Generation 41 | Revalues: 5218 | GridSize: 8
Generation 42 | Revalues: 5341 | GridSize: 9
Generation 43 | Revalues: 5469 | GridSize: 9
Generation 44 | Revalues: 5596 | GridSize: 9
