Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 228 | GridSize: 7
Generation 2 | Revalues: 356 | GridSize: 6
Generation 3 | Revalues: 479 | GridSize: 7
Generation 4 | Revalues: 603 | GridSize: 9
Generation 5 | Revalues: 727 | GridSize: 11
Generation 6 | Revalues: 853 | GridSize: 9
Generation 7 | Revalues: 980 | GridSize: 9
Generation 8 | Revalues: 1107 | GridSize: 10
Generation 9 | Revalues: 1237 | GridSize: 10
Generation 10 | Revalues: 1367 | GridSize: 11
Generation 11 | Revalues: 1498 | GridSize: 10
Generation 12 | Revalues: 1625 | GridSize: 10
Generation 13 | Revalues: 1752 | GridSize: 10
Generation 14 | Revalues: 1883 | GridSize: 10
Generation 15 | Revalues: 2006 | GridSize: 10
Generation 16 | Revalues: 2129 | GridSize: 10
Generation 17 | Revalues: 2254 | GridSize: 7
Generation 18 | Revalues: 2379 | GridSize: 8
Generation 19 | Revalues: 2508 | GridSize: 9
Generation 20 | Revalues: 2630 | GridSize: 9
Generation 21 | Revalues: 2752 | GridSize: 9
Generation 22 | Revalues: 2874 | GridSize: 9
Generation 23 | Revalues: 2996 | GridSize: 9
Generation 24 | Revalues: 3122 | GridSize: 9
Generation 25 | Revalues: 3250 | GridSize: 9
Generation 26 | Revalues: 3377 | GridSize: 9
Generation 27 | Revalues: 3500 | GridSize: 9
Generation 28 | Revalues: 3629 | GridSize: 10
Generation 29 | Revalues: 3762 | GridSize: 10
Generation 30 | Revalues: 3895 | GridSize: 10
Generation 31 | Revalues: 4016 | GridSize: 9
Generation 32 | Revalues: 4142 | GridSize: 9
Generation 33 | Revalues: 4268 | GridSize: 9
Generation 34 | Revalues: 4398 | GridSize: 9
Generation 35 | Revalues: 4528 | GridSize: 9
Generation 36 | Revalues: 4646 | GridSize: 9
Generation 37 | Revalues: 4771 | GridSize: 9
Generation 38 | Revalues: 4899 | GridSize: 9
Generation 39 | Revalues: 5021 | GridSize: 9
Generation 40 | Revalues: 5146 | GridSize: 9
Generation 41 | Revalues: 5273 | GridSize: 9
Generation 42 | Revalues: 5401 | GridSize: 10
Generation 43 | Revalues: 5530 | GridSize: 10
Generation 44 | Revalues: 5659 | GridSize: 10
Generation 45 | Revalues: 5786 | GridSize: 10
Generation 46 | Revalues: 5911 | GridSize: 10
Generation 47 | Revalues: 6037 | GridSize: 10
Generation 48 | Revalues: 6162 | GridSize: 10
Generation 49 | Revalues: 6287 | GridSize: 10
Generation 50 | Revalues: 6415 | GridSize: 10
Generation 51 | Revalues: 6543 | GridSize: 10
Generation 52 | Revalues: 6666 | GridSize: 10
Generation 53 | Revalues: 6799 | GridSize: 10
Generation 54 | Revalues: 6932 | GridSize: 10
Generation 55 | Revalues: 7056 | GridSize: 11
Generation 56 | Revalues: 7176 | GridSize: 12
Generation 57 | Revalues: 7296 | GridSize: 11
Generation 58 | Revalues: 7421 | GridSize: 11
Generation 59 | Revalues: 7546 | GridSize: 11
Generation 60 | Revalues: 7669 | GridSize: 11
Generation 61 | Revalues: 7791 | GridSize: 12
Generation 62 | Revalues: 7913 | GridSize: 12
Generation 63 | Revalues: 8042 | GridSize: 12
Generation 64 | Revalues: 8168 | GridSize: 12
Generation 65 | Revalues: 8294 | GridSize: 9
Generation 66 | Revalues: 8415 | GridSize: 9
Generation 67 | Revalues: 8536 | GridSize: 9
Generation 68 | Revalues: 8665 | GridSize: 9
Generation 69 | Revalues: 8787 | GridSize: 9
Generation 70 | Revalues: 8907 | GridSize: 9
Generation 71 | Revalues: 9027 | GridSize: 9
Generation 72 | Revalues: 9157 | GridSize: 9
Generation 73 | Revalues: 9282 | GridSize: 9
Generation 74 | Revalues: 9407 | GridSize: 9
Generation 75 | Revalues: 9530 | GridSize: 9
Generation 76 | Revalues: 9662 | GridSize: 9
Generation 77 | Revalues: 9780 | GridSize: 9
Generation 78 | Revalues: 9902 | GridSize: 9
Generation 79 | Revalues: 10019 | GridSize: 9
Generation 80 | Revalues: 10145 | GridSize: 9
Generation 81 | Revalues: 10268 | GridSize: 9
Generation 82 | Revalues: 10391 | GridSize: 9
Generation 83 | Revalues: 10518 | GridSize: 9
Generation 84 | Revalues: 10643 | GridSize: 9
Generation 85 | Revalues: 10764 | GridSize: 9
Generation 86 | Revalues: 10886 | GridSize: 9
Generation 87 | Revalues: 11008 | GridSize: 9
Generation 88 | Revalues: 11136 | GridSize: 6
Generation 89 | Revalues: 11264 | GridSize: 6
Generation 90 | Revalues: 11382 | GridSize: 6
Generation 91 | Revalues: 11507 | GridSize: 6
Generation 92 | Revalues: 11638 | GridSize: 6
Generation 93 | Revalues: 11769 | GridSize: 6
Generation 94 | Revalues: 11899 | GridSize: 6
Generation 95 | Revalues: 12027 | GridSize: 6
Generation 96 | Revalues: 12155 | GridSize: 6
Generation 97 | Revalues: 12289 | GridSize: 6
Generation 98 | Revalues: 12415 | GridSize: 6
Generation 99 | Revalues: 12543 | GridSize: 6
Generation 100 | Revalues: 12668 | GridSize: 7
Generation 101 | Revalues: 12793 | GridSize: 7
Generation 102 | Revalues: 12924 | GridSize: 7
Generation 103 | Revalues: 13049 | GridSize: 7
Generation 104 | Revalues: 13174 | GridSize: 7
Generation 105 | Revalues: 13301 | GridSize: 7
Generation 106 | Revalues: 13423 | GridSize: 7
Generation 107 | Revalues: 13545 | GridSize: 7
Generation 108 | Revalues: 13667 | GridSize: 7
Generation 109 | Revalues: 13789 | GridSize: 7
Generation 110 | Revalues: 13921 | GridSize: 7
Generation 111 | Revalues: 14048 | GridSize: 7
Generation 112 | Revalues: 14175 | GridSize: 7
Generation 113 | Revalues: 14301 | GridSize: 7
Generation 114 | Revalues: 14432 | GridSize: 7
Generation 115 | Revalues: 14563 | GridSize: 7
Generation 116 | Revalues: 14690 | GridSize: 7
Generation 117 | Revalues: 14821 | GridSize: 7
Generation 118 | Revalues: 14945 | GridSize: 7
Generation 119 | Revalues: 15074 | GridSize: 7
Generation 120 | Revalues: 15200 | GridSize: 7
Generation 121 | Revalues: 15321 | GridSize: 7
Generation 122 | Revalues: 15441 | GridSize: 7
Generation 123 | Revalues: 15561 | GridSize: 7
Generation 124 | Revalues: 15695 | GridSize: 7
Generation 125 | Revalues: 15829 | GridSize: 7
Generation 126 | Revalues: 15954 | GridSize: 7
Generation 127 | Revalues: 16085 | GridSize: 7
Generation 128 | Revalues: 16211 | GridSize: 7
Generation 129 | Revalues: 16337 | GridSize: 7
Generation 130 | Revalues: 16472 | GridSize: 7
Generation 131 | Revalues: 16599 | GridSize: 7
Generation 132 | Revalues: 16726 | GridSize: 7
Generation 133 | Revalues: 16857 | GridSize: 7
Generation 134 | Revalues: 16981 | GridSize: 7
Generation 135 | Revalues: 17105 | GridSize: 7
Generation 136 | Revalues: 17230 | GridSize: 7
Generation 137 | Revalues: 17355 | GridSize: 7
Generation 138 | Revalues: 17482 | GridSize: 7
Generation 139 | Revalues: 17612 | GridSize: 7
Generation 140 | Revalues: 17736 | GridSize: 7
Generation 141 | Revalues: 17860 | GridSize: 7
Generation 142 | Revalues: 17985 | GridSize: 7
Generation 143 | Revalues: 18105 | GridSize: 7
Generation 144 | Revalues: 18235 | GridSize: 7
Generation 145 | Revalues: 18361 | GridSize: 7
Generation 146 | Revalues: 18485 | GridSize: 7
Generation 147 | Revalues: 18610 | GridSize: 7
Generation 148 | Revalues: 18734 | GridSize: 7
Generation 149 | Revalues: 18866 | GridSize: 7
Generation 150 | Revalues: 18994 | GridSize: 7
Generation 151 | Revalues: 19115 | GridSize: 7
Generation 152 | Revalues: 19235 | GridSize: 7
Generation 153 | Revalues: 19362 | GridSize: 7
Generation 154 | Revalues: 19487 | GridSize: 7
Generation 155 | Revalues: 19610 | GridSize: 7
Generation 156 | Revalues: 19734 | GridSize: 7
Generation 157 | Revalues: 19862 | GridSize: 7
Generation 158 | Revalues: 19990 | GridSize: 7
Generation 159 | Revalues: 20116 | GridSize: 7
Generation 160 | Revalues: 20238 | GridSize: 7
Generation 161 | Revalues: 20366 | GridSize: 7
Generation 162 | Revalues: 20491 | GridSize: 7
Generation 163 | Revalues: 20616 | GridSize: 7
Generation 164 | Revalues: 20741 | GridSize: 7
Generation 165 | Revalues: 20863 | GridSize: 8
Generation 166 | Revalues: 20988 | GridSize: 8
Generation 167 | Revalues: 21113 | GridSize: 8
Generation 168 | Revalues: 21241 | GridSize: 8
Generation 169 | Revalues: 21369 | GridSize: 8
Generation 170 | Revalues: 21497 | GridSize: 8
Generation 171 | Revalues: 21625 | GridSize: 8
Generation 172 | Revalues: 21753 | GridSize: 8
Generation 173 | Revalues: 21880 | GridSize: 8
Generation 174 | Revalues: 22005 | GridSize: 8
Generation 175 | Revalues: 22130 | GridSize: 8
Generation 176 | Revalues: 22261 | GridSize: 8
