Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 225 | GridSize: 6
Generation 2 | Revalues: 351 | GridSize: 8
Generation 3 | Revalues: 469 | GridSize: 9
Generation 4 | Revalues: 594 | GridSize: 10
Generation 5 | Revalues: 724 | GridSize: 10
Generation 6 | Revalues: 851 | GridSize: 10
Generation 7 | Revalues: 977 | GridSize: 9
Generation 8 | Revalues: 1099 | GridSize: 9
Generation 9 | Revalues: 1220 | GridSize: 9
Generation 10 | Revalues: 1344 | GridSize: 9
Generation 11 | Revalues: 1470 | GridSize: 10
Generation 12 | Revalues: 1597 | GridSize: 10
Generation 13 | Revalues: 1717 | GridSize: 10
Generation 14 | Revalues: 1841 | GridSize: 11
Generation 15 | Revalues: 1960 | GridSize: 11
Generation 16 | Revalues: 2087 | GridSize: 11
Generation 17 | Revalues: 2210 | GridSize: 11
Generation 18 | Revalues: 2334 | GridSize: 11
Generation 19 | Revalues: 2459 | GridSize: 9
Generation 20 | Revalues: 2581 | GridSize: 9
Generation 21 | Revalues: 2703 | GridSize: 9
Generation 22 | Revalues: 2827 | GridSize: 9
Generation 23 | Revalues: 2952 | GridSize: 9
Generation 24 | Revalues: 3077 | GridSize: 9
Generation 25 | Revalues: 3207 | GridSize: 9
Generation 26 | Revalues: 3332 | GridSize: 9
Generation 27 | Revalues: 3451 | GridSize: 9
Generation 28 | Revalues: 3570 | GridSize: 9
Generation 29 | Revalues: 3702 | GridSize: 10
Generation 30 | Revalues: 3827 | GridSize: 10
Generation 31 | Revalues: 3950 | GridSize: 12
Generation 32 | Revalues: 4075 | GridSize: 12
Generation 33 | Revalues: 4200 | GridSize: 12
Generation 34 | Revalues: 4321 | GridSize: 12
Generation 35 | Revalues: 4446 | GridSize: 12
Generation 36 | Revalues: 4574 | GridSize: 12
Generation 37 | Revalues: 4699 | GridSize: 12
Generation 38 | Revalues: 4825 | GridSize: 12
Generation 39 | Revalues: 4949 | GridSize: 8
Generation 40 | Revalues: 5067 | GridSize: 8
Generation 41 | Revalues: 5189 | GridSize: 8
Generation 42 | Revalues: 5310 | GridSize: 8
Generation 43 | Revalues: 5437 | GridSize: 8
Generation 44 | Revalues: 5563 | GridSize: 8
Generation 45 | Revalues: 5691 | GridSize: 8
Generation 46 | Revalues: 5819 | GridSize: 9
Generation 47 | Revalues: 5950 | GridSize: 9
Generation 48 | Revalues: 6074 | GridSize: 9
Generation 49 | Revalues: 6201 | GridSize: 9
Generation 50 | Revalues: 6329 | GridSize: 9
Generation 51 | Revalues: 6450 | GridSize: 9
Generation 52 | Revalues: 6572 | GridSize: 9
Generation 53 | Revalues: 6691 | GridSize: 9
Generation 54 | Revalues: 6823 | GridSize: 9
Generation 55 | Revalues: 6941 | GridSize: 9
Generation 56 | Revalues: 7067 | GridSize: 9
Generation 57 | Revalues: 7193 | GridSize: 9
Generation 58 | Revalues: 7318 | GridSize: 9
Generation 59 | Revalues: 7451 | GridSize: 9
Generation 60 | Revalues: 7582 | GridSize: 9
Generation 61 | Revalues: 7715 | GridSize: 9
Generation 62 | Revalues: 7839 | GridSize: 9
Generation 63 | Revalues: 7962 | GridSize: 10
Generation 64 | Revalues: 8090 | GridSize: 10
Generation 65 | Revalues: 8215 | GridSize: 10
Generation 66 | Revalues: 8340 | GridSize: 10
Generation 67 | Revalues: 8461 | GridSize: 10
Generation 68 | Revalues: 8585 | GridSize: 10
Generation 69 | Revalues: 8708 | GridSize: 10
Generation 70 | Revalues: 8833 | GridSize: 10
Generation 71 | Revalues: 8958 | GridSize: 10
Generation 72 | Revalues: 9082 | GridSize: 10
Generation 73 | Revalues: 9207 | GridSize: 10
Generation 74 | Revalues: 9332 | GridSize: 10
Generation 75 | Revalues: 9454 | GridSize: 11
Generation 76 | Revalues: 9575 | GridSize: 11
Generation 77 | Revalues: 9699 | GridSize: 11
Generation 78 | Revalues: 9823 | GridSize: 11
Generation 79 | Revalues: 9949 | GridSize: 11
Generation 80 | Revalues: 10075 | GridSize: 11
Generation 81 | Revalues: 10195 | GridSize: 11
Generation 82 | Revalues: 10314 | GridSize: 11
Generation 83 | Revalues: 10435 | GridSize: 11
Generation 84 | Revalues: 10560 | GridSize: 11
