Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 219 | GridSize: 7
Generation 2 | Revalues: 341 | GridSize: 8
Generation 3 | Revalues: 458 | GridSize: 9
Generation 4 | Revalues: 578 | GridSize: 9
Generation 5 | Revalues: 707 | GridSize: 11
Generation 6 | Revalues: 833 | GridSize: 12
Generation 7 | Revalues: 949 | GridSize: 10
Generation 8 | Revalues: 1074 | GridSize: 10
Generation 9 | Revalues: 1204 | GridSize: 11
Generation 10 | Revalues: 1331 | GridSize: 11
Generation 11 | Revalues: 1453 | GridSize: 11
Generation 12 | Revalues: 1585 | GridSize: 12
Generation 13 | Revalues: 1708 | GridSize: 13
Generation 14 | Revalues: 1833 | GridSize: 12
Generation 15 | Revalues: 1960 | GridSize: 12
Generation 16 | Revalues: 2075 | GridSize: 12
Generation 17 | Revalues: 2197 | GridSize: 12
Generation 18 | Revalues: 2323 | GridSize: 13
Generation 19 | Revalues: 2449 | GridSize: 13
Generation 20 | Revalues: 2568 | GridSize: 13
Generation 21 | Revalues: 2695 | GridSize: 13
Generation 22 | Revalues: 2823 | GridSize: 13
Generation 23 | Revalues: 2959 | GridSize: 14
Generation 24 | Revalues: 3083 | GridSize: 14
Generation 25 | Revalues: 3205 | GridSize: 14
Generation 26 | Revalues: 3323 | GridSize: 14
Generation 27 | Revalues: 3450 | GridSize: 14
Generation 28 | Revalues: 3570 | GridSize: 14
Generation 29 | Revalues: 3691 | GridSize: 16
Generation 30 | Revalues: 3813 | GridSize: 16
Generation 31 | Revalues: 3933 | GridSize: 16
Generation 32 | Revalues: 4055 | GridSize: 16
Generation 33 | Revalues: 4178 | GridSize: 16
Generation 34 | Revalues: 4301 | GridSize: 16
Generation 35 | Revalues: 4425 | GridSize: 16
Generation 36 | Revalues: 4546 | GridSize: 17
Generation 37 | Revalues: 4675 | GridSize: 15
Generation 38 | Revalues: 4801 | GridSize: 15
Generation 39 | Revalues: 4926 | GridSize: 15
Generation 40 | Revalues: 5049 | GridSize: 15
Generation 41 | Revalues: 5170 | GridSize: 12
Generation 42 | Revalues: 5296 | GridSize: 12
Generation 43 | Revalues: 5421 | GridSize: 7
Generation 44 | Revalues: 5544 | GridSize: 7
Generation 45 | Revalues: 5665 | GridSize: 7
Generation 46 | Revalues: 5788 | GridSize: 7
Generation 47 | Revalues: 5916 | GridSize: 7
Generation 48 | Revalues: 6042 | GridSize: 7
Generation 49 | Revalues: 6166 | GridSize: 7
Generation 50 | Revalues: 6292 | GridSize: 7
Generation 51 | Revalues: 6413 | GridSize: 7
Generation 52 | Revalues: 6537 | GridSize: 7
Generation 53 | Revalues: 6664 | GridSize: 7
Generation 54 | Revalues: 6791 | GridSize: 7
Generation 55 | Revalues: 6917 | GridSize: 7
Generation 56 | Revalues: 7039 | GridSize: 7
Generation 57 | Revalues: 7164 | GridSize: 8
Generation 58 | Revalues: 7293 | GridSize: 8
Generation 59 | Revalues: 7419 | GridSize: 8
Generation 60 | Revalues: 7544 | GridSize: 8
Generation 61 | Revalues: 7666 | GridSize: 9
Generation 62 | Revalues: 7795 | GridSize: 9
Generation 63 | Revalues: 7926 | GridSize: 9
Generation 64 | Revalues: 8054 | GridSize: 9
Generation 65 | Revalues: 8178 | GridSize: 9
Generation 66 | Revalues: 8300 | GridSize: 9
Generation 67 | Revalues: 8429 | GridSize: 9
Generation 68 | Revalues: 8550 | GridSize: 9
Generation 69 | Revalues: 8679 | GridSize: 9
Generation 70 | Revalues: 8803 | GridSize: 9
Generation 71 | Revalues: 8920 | GridSize: 9
Generation 72 | Revalues: 9051 | GridSize: 9
Generation 73 | Revalues: 9173 | GridSize: 9
Generation 74 | Revalues: 9298 | GridSize: 9
Generation 75 | Revalues: 9434 | GridSize: 9
Generation 76 | Revalues: 9555 | GridSize: 9
Generation 77 | Revalues: 9677 | GridSize: 9
Generation 78 | Revalues: 9798 | GridSize: 9
Generation 79 | Revalues: 9918 | GridSize: 9
Generation 80 | Revalues: 10045 | GridSize: 9
Generation 81 | Revalues: 10175 | GridSize: 9
Generation 82 | Revalues: 10309 | GridSize: 9
Generation 83 | Revalues: 10438 | GridSize: 9
Generation 84 | Revalues: 10570 | GridSize: 9
Generation 85 | Revalues: 10696 | GridSize: 9
Generation 86 | Revalues: 10826 | GridSize: 9
Generation 87 | Revalues: 10952 | GridSize: 9
Generation 88 | Revalues: 11081 | GridSize: 9
Generation 89 | Revalues: 11206 | GridSize: 9
Generation 90 | Revalues: 11332 | GridSize: 9
Generation 91 | Revalues: 11461 | GridSize: 9
Generation 92 | Revalues: 11588 | GridSize: 9
Generation 93 | Revalues: 11715 | GridSize: 9
Generation 94 | Revalues: 11838 | GridSize: 9
Generation 95 | Revalues: 11965 | GridSize: 9
Generation 96 | Revalues: 12089 | GridSize: 9
Generation 97 | Revalues: 12207 | GridSize: 9
Generation 98 | Revalues: 12334 | GridSize: 9
Generation 99 | Revalues: 12460 | GridSize: 9
Generation 100 | Revalues: 12588 | GridSize: 9
Generation 101 | Revalues: 12714 | GridSize: 9
Generation 102 | Revalues: 12840 | GridSize: 9
Generation 103 | Revalues: 12967 | GridSize: 9
Generation 104 | Revalues: 13091 | GridSize: 9
Generation 105 | Revalues: 13223 | GridSize: 9
Generation 106 | Revalues: 13350 | GridSize: 10
Generation 107 | Revalues: 13479 | GridSize: 10
Generation 108 | Revalues: 13595 | GridSize: 10
Generation 109 | Revalues: 13721 | GridSize: 10
Generation 110 | Revalues: 13846 | GridSize: 10
Generation 111 | Revalues: 13972 | GridSize: 10
Generation 112 | Revalues: 14098 | GridSize: 10
Generation 113 | Revalues: 14229 | GridSize: 10
Generation 114 | Revalues: 14358 | GridSize: 11
Generation 115 | Revalues: 14493 | GridSize: 11
Generation 116 | Revalues: 14617 | GridSize: 11
Generation 117 | Revalues: 14741 | GridSize: 11
Generation 118 | Revalues: 14862 | GridSize: 11
Generation 119 | Revalues: 14987 | GridSize: 11
Generation 120 | Revalues: 15110 | GridSize: 11
Generation 121 | Revalues: 15235 | GridSize: 11
Generation 122 | Revalues: 15359 | GridSize: 11
Generation 123 | Revalues: 15488 | GridSize: 11
Generation 124 | Revalues: 15614 | GridSize: 11
Generation 125 | Revalues: 15736 | GridSize: 11
Generation 126 | Revalues: 15862 | GridSize: 11
Generation 127 | Revalues: 15988 | GridSize: 11
Generation 128 | Revalues: 16116 | GridSize: 11
Generation 129 | Revalues: 16241 | GridSize: 11
Generation 130 | Revalues: 16365 | GridSize: 11
Generation 131 | Revalues: 16492 | GridSize: 11
Generation 132 | Revalues: 16623 | GridSize: 11
